"","cell_id","ACACA","ADAMTS19","ADCY2","AFF2","AGAP1","AGBL4","AKAP6","AKT3","ANK2","ANKS1B","ARHGAP10","ARHGAP24","ARHGAP6","ASTN2","ATAD2B","ATP8A2","AUTS2","BBS9","BCAS3","BMPR1B","BTBD9","CACNA2D3","CACNB2","CADPS2","CD226","CDC42SE2","CDH12","CDH13","CDH4","CDK14","CDKAL1","CEP128","CEP85L","CHSY3","CNTLN","CNTN3","CNTN4","CNTN5","COG5","COL4A5","COL4A6","COMMD10","CSMD3","CTNNA2","CTNND2","DAB1","DACH2","DCC","DGKB","DGKI","DIAPH2","DIP2C","DLG2","DLGAP1","DNER","DOCK1","DOCK4","DOK6","DPP10","DPYD","EDA","EDIL3","EHBP1","ELMO1","ELP4","EPHA6","ERBB4","ERC2","EXOC4","FARS2","FAT3","FBXL17","FBXL7","FER","FGF12","FGF13","FGGY","FHIT","FHOD3","FOXP1","FRMD3","FTO","GABRG3","GALNT13","GMDS","GPATCH2","GPC5","GPC6","GPHN","GRID1","GRID2","GRIK2","GRM5","GRM7","GRM8","HBP1","HDAC9","HHAT","HS6ST3","IDNK","IL1RAPL1","IMMP1L","IMMP2L","INPP4B","IPO11","ITFG1","KAZN","KCNH1","KCNH8","KHDRBS2","KIAA1328","KIRREL3","KLHL29","LAMA2","LINGO2","LPP","LRBA","LRP1B","LSAMP","LUZP2","LYPD1","LYRM4","MACROD2","MAD1L1","MAGI1","MAGI2","MAP7D2","MARCHF1","MBD5","MCM9","MCTP1","MDGA2","MDH1","MECOM","MGAT4C","MGMT","MID1","MLF1","MSRA","NAALADL2","NAV3","NBAS","NBEA","NCAM2","NCKAP5","NEGR1","NEK11","NELL1","NKAIN2","NKAIN3","NLGN1","NR3C2","NRG3","NRXN3","NSUN6","NUP155","OPHN1","OVCH1","PAPPA","PAPPA2","PARD3","PARD3B","PCCA","PCDH11X","PCDH9","PDE1C","PDE4D","PHKB","PHTF2","PIK3C2G","PLCB1","PLEKHA3","PLXDC2","PPFIA2","PRDM5","PRKD1","PRKG1","PSME4","PTPRD","PTPRG","PTPRK","PTPRM","PXDNL","R3HDM1","RABGAP1L","RAP1GDS1","RAPGEF6","RBMS3","ROBO1","RORA","RSBN1L","RSRC1","RYR2","SCFD2","SDCCAG8","SDK1","SEMA6A","SH3GL2","SH3KBP1","SLC44A5","SLC9A9","SLCO3A1","SMYD3","SNX29","SORCS1","SOX5","SOX6","SPAG16","SPATA17","STK3","STXBP4","STXBP5L","SYT1","TAOK3","TBC1D5","THSD4","THSD7B","TIAM1","TMEM117","TMEM167A","TMTC1","TMTC2","TOM1L1","TPGS2","TPK1","TRAPPC12","TRAPPC9","TRIP12","TTN","TYR","UBQLN1","ULK4","UNC5C","UNC5D","VPS13B","VTI1A","WDFY3","WDPCP","WDR7","WDR70","WWOX","XRCC4","ZBTB20","ZFAND3","ZFPM2","ZRANB3"
"SIDM00003","SIDM00003","5.0299","0.0144","3.1077","0.1635","3.9542","0.0286","0.4436","5.2724","2.6462","1.1699","2.774","4.4202","0.2141","1.8953","2.1827","0.4222","4.5783","3.3277","3.228","1.2265","2.3132","0.0704","0.4542","3.5298","0.1375","3.7442","0","1.669","0.1635","3.4995","3.7634","2.8836","1.585","2.7093","2.926","0.0144","1.2079","0","5.2114","0.0976","0","4.5934","0","1.8718","0.0286","0.0286","0","0","0","0.7312","3.6904","3.5033","0.9486","1.9336","0.7049","4.4053","4.263","0","0","3.2388","0.3219","0.4647","5.7576","4.6223","3.5753","0","0.0286","0.0566","5.6887","3.6299","0","3.366","3.5717","3.6781","0.8639","4.2494","2.5583","2.189","4.0479","4.0188","2.1309","4.9463","0.585","0","4.3547","2.9946","0.0426","0.8319","3.1276","0.0286","0","2.7312","0.0286","0.111","0.0144","5.3323","3.5148","1.9561","0","1.9891","4.4469","4.3799","5.1031","5.7309","4.7263","4.861","4.9388","0.3219","0.1635","0","2.4033","1.9855","1.9745","0.774","0.6323","3.9561","3.2913","0.0976","0.7398","0","6.3695","4.7032","1.2265","7.4586","2.3161","1.7908","3.6415","0.7485","2.272","2.6392","4.9699","1.4751","8.3046","0.0426","0.0144","4.2593","5.0904","4.8022","4.4289","1.4005","2.5729","4.0496","1.1506","1.3391","0.4647","0.0286","0.9855","0.6135","0.0286","0.0426","4.2357","0.5261","0.1635","2.3219","3.1043","5.6676","2.5993","0.189","0.0426","0","4.2449","0.433","2.7203","0","1.2203","1.6182","3.61","4.3688","5.1428","0","3.5509","4.1859","0.275","2.0426","1.2327","4.257","0.0144","4.943","1.9411","3.9718","3.5033","4.942","0.0144","4.7328","3.1779","4.8012","3.3031","1.9598","5.7339","2.3533","4.2016","5.6064","0.111","4.441","4.263","0.0144","4.1675","0.0144","5.8924","0.0144","0.6508","4.5478","4.554","2.2048","4.0583","4.7065","2.0942","2.2357","0.2987","3.4515","2.9579","0.0841","1.2203","5.6082","4.9565","0.1506","0","3.3632","3.6462","6.5163","5.0657","4.7824","5.0295","7.1808","2.0566","5.0587","3.0144","6.61","0.1375","8.4692","6.6875","3.3161","0.0566","0","2.2418","3.9773","3.0233","3.2555","2.2016","4.5969","4.2928","4.1827","1.6462","5.3363","0.275","2.9317"
"SIDM00023","SIDM00023","5.3161","0","0","0","3.541","0","1.157","0.5945","0.3103","0.0841","3.0356","1.8115","0.0841","0.5945","3.2494","0.111","5.5379","3.2585","3.4686","1.2016","2.189","0.0144","0.7398","0.111","0.0704","4.4835","0.0976","6.3521","0.111","2.4594","2.6112","3.8135","1.2265","0","2.9855","0.0286","0","0.263","5.2806","4.7835","3.2675","3.4209","0","0","0","0","0","0.0566","0.0976","0.0426","3.3561","2.7377","1.5059","0.189","0.6415","4.7639","1.757","0","0","2.84","1.0286","4.511","4.9388","0.111","3.84","0.0286","0.4436","0","5.2705","3.3561","1.0356","2.7312","0","2.6323","0","0.84","3.3462","0.4751","0.757","2.1043","0.0426","5.6285","0","0.2016","4.7882","3.441","0","0","4.7065","0.0704","0.0566","3.211","0","0","0.0566","4.7687","1.8359","1.3391","0.0426","3.5261","0.0841","5.2273","3.5886","2.4751","3.9001","5.5432","4.0179","0.0144","0.0286","0","2.2479","1.0215","0.1635","1.4751","0.5261","4.0635","4.3889","0.0841","0.0144","0.0286","0.0976","4.0959","0.1375","4.9122","1.8797","0.6871","0.7398","1.852","3.4303","3.306","1.2327","0","7.593","4.6747","0.0144","5.0661","4.6311","3.6837","1.6323","0.9855","0.111","3.4725","0.4957","2.189","0.0704","0.0426","1.511","0","0.0144","0","0.111","0.1635","0","0.0566","3.101","6.188","2.516","0","0.0841","0.0144","5.374","0.5945","4.742","0.1243","1.2327","0.1506","1.9298","6.2623","5.0734","0.3334","1.7991","3.4209","0","0.0704","2.8758","0.3103","0.2388","4.8659","0.0566","1.9373","5.0413","0.0704","0.0144","5.225","4.8826","4.8364","2.8032","1.9411","5.1835","1.696","4.9373","4.6153","0.3674","2.9598","4.5868","1.251","0.0704","0.0286","3.3491","3.5862","0.189","5.7407","3.8758","2.0738","0.0144","0.6229","2.4114","4.0917","1.4906","4.9083","2.3219","0.2265","0.2869","4.9713","4.5078","3.9193","0.0426","3.3771","3.2585","5.213","0.0286","1.2869","5.2307","6.5072","0.585","5.142","4.2265","6.1398","0.4647","0","6.2808","2.0566","0.0566","0","3.853","4.1882","4.2426","2.4249","2.3868","5.4489","4.6554","3.3161","0.6599","4.9681","0.0144","3.6531"
"SIDM00040","SIDM00040","5.9234","0","0.0286","0","4.3031","0.0286","0.189","0.0286","0","0","3.4033","0.2265","0.0144","0.7655","2.2327","0","0","0.7991","3.6299","2.3785","0.4222","0","4.3882","2.8817","0.0286","4.1843","0","0","0.0426","0.0426","2.568","1.406","0.6781","0","0","0","0","0.0144","5.7748","2.585","0.3561","4.9727","0","0.0426","0","0","0","0","0","0.0144","2.0036","4.6317","3.7908","0.0144","5.5011","2.7377","2.3103","0","0","0.0286","0","0.1243","3.669","0.0144","4.3349","0","0.3896","0.0144","5.0832","3.4699","0","2.6848","0","1.84","2.441","0.0144","1.144","0.0841","0","3.6645","3.3992","5.1942","0","0.0286","5.9798","3.3089","0.0144","0.0426","2.0144","0","0","0.0566","0","0","0","4.7782","1.8032","0.0144","0","3.121","0","4.963","5.4861","3.3882","3.9891","6.398","0.7824","0.0426","0","0","1.9336","0.4647","0.1763","0.0566","0","3.6218","4.2157","0.4751","0","0","0.0286","4.735","0.0286","3.6381","2.0215","0.1635","0.0286","1.2265","1.696","2.3334","1.852","0","6.2902","0.4542","0","0","4.1326","3.6803","6.2902","1.257","0","4.4019","0.0144","0","0.0144","0","1.1177","0.0286","0","0","0","0.0566","0","0","3.8359","4.7719","2.9069","0.0841","0.6415","0.275","5.9586","0.2141","4.0583","0","0.1243","2.84","5.6932","5.2165","2.8836","0","1.2079","2.7698","0","0","2.4542","0","0","4.5886","0","0","3.6565","5.712","0","4.6576","3.8104","3.9514","2.254","0","2.433","0.0566","3.3757","3.853","0","2.9505","3.2203","0","0.8797","0","2.7377","0.8074","0","0.4114","2.269","1.2016","0.0704","0.0286","0.0566","0","0.3896","4.5248","1.7355","0.1243","0.0841","5.6153","4.3813","2.9727","0","0","2.5286","6.6013","2.7824","2.9336","6.0917","5.4647","1.516","4.7015","4.0968","5.292","0.0704","0.0144","6.4099","1.5993","0.0566","0","2.4542","3.6803","3.3868","1.4489","1.2141","4.8425","2.9672","3.0875","0.189","5.2928","0.1375","2.1667"
"SIDM00041","SIDM00041","5.3733","0.0286","1.4957","1.6736","4.2517","0.5261","1.86","5.4611","2.9873","1.1177","3.742","0.4854","0.8953","2.903","2.251","1.0426","5.1297","3.101","3.2265","0.7312","2.6915","0.3219","0.3785","3.6508","0.2265","4.441","0.0976","7.4178","3.2898","3.4303","3.4555","3.5753","2.6299","1.6135","3.7377","0.4957","0.0704","0.0144","5.2346","3.272","0.926","5.2683","0","0.0426","0.0704","0.3219","0","0.0566","0.0566","3.3462","2.4621","3.1938","0.5753","0","1.6554","5.1942","2.4699","0","0","1.5993","2.1859","0","5.8107","2.1985","3.841","0","0.1635","1.8718","6.0103","4.0027","0.0144","4.4867","3.0959","3.7527","0.669","6.4757","3.2172","1.6871","4.3792","5.106","0.4957","5.7661","0","0.1763","4.0747","3.7772","0.433","0.0841","4.189","1.5558","0","0","0.0144","0","0.189","5.8232","2.0286","3.9193","0.1506","2.4777","0.5945","3.3205","3.2311","0.926","4.4751","6.1231","2.7677","2","0.0144","0","2.0875","3.6415","2.6276","0.0841","0.0144","5.0347","5.093","0","0.4005","0.0976","1.9373","4.1276","2.1699","7.5502","4.3834","1.3161","2.6826","1.6462","3.0144","2.6415","2.1077","0.1243","7.3926","3.5484","0","5.2698","4.6887","5.6168","4.1875","0.5558","0.3448","4.7458","0.9855","0.0144","0.6323","1.3334","3.0807","0.3334","0.0704","0.0286","0.3334","0.696","0","2.8953","2.905","5.4323","2.4568","0","3.5753","0.3561","5.101","1.4854","3.2987","0","0","3.843","3.0858","5.3306","5.2411","0","0.9411","4.0807","0","0.0426","2.5558","2.0356","0.189","5.3663","1.546","5.585","3.645","4.7777","0.1506","4.9246","4.4535","4.8817","3.3291","0.0286","0.0566","4.2001","4.4243","5.3473","1.6041","4.3169","4.5771","1.4647","0.774","0.8319","6.6519","2.0072","1.2203","3.9809","4.4783","3.0072","0.4647","0.0976","0.275","4.1375","1.3505","4.479","2.101","0.1375","0.111","4.2016","5.4624","4.0374","0.0286","4.7214","3.4209","5.9825","1.3334","0.8319","5.218","6.3752","1.9819","5.6619","4.1611","6.6689","0.1375","0","6.6605","2.0875","0.0286","0.0144","3.2839","4.3903","4.6094","2.6415","2.84","5.497","3.9946","3.7845","2.0807","5.7032","1.3045","2.5211"
"SIDM00042","SIDM00042","6.2267","0.9635","0","0","4.1763","0","0.8319","3.6112","2.3674","0.0286","2.6938","1.9964","0.0286","1.2203","3.1506","0.2016","1.1177","2.0144","2.4436","2.98","2.211","0.0144","1.263","1.585","0.0976","4.8885","0.0566","0.0566","0.0841","2.3016","3.4803","3.0807","0.9928","2.281","1.8953","0","0","0.0426","4.047","0.0144","0","4.7897","0","0.926","0","0","0","0","0","0.0841","2.272","2.9635","0.546","0.0286","0.2016","4.4679","1.8639","0","0","3.4515","0.0426","2.1538","5.2865","0.1243","3.797","0.7908","0.1506","0.0286","4.1675","3.3646","0","3.6485","0","2.4222","0.856","0.1506","0.9782","2.0772","2.2234","3.3448","2.4276","4.8415","0","2.0841","4.9695","3.266","0.1243","3.466","4.393","0.0426","0.0144","0.251","0.0286","0","0.0286","4.1001","3.9126","2.5236","0.1506","1.757","0.5558","5.1859","3.079","5.5647","4.0721","5.8235","2.2265","0.2987","0.0144","0.0566","1.4383","0.5558","2.5033","0.7312","0.8156","3.8217","4.9274","0.856","0.251","0.1243","2.1309","4.3363","2.3161","4.8298","3.8943","0.3448","0.3103","2.266","3.8836","2.6462","2.7929","0.0286","6.8819","2.6182","0.0426","3.516","2.6803","4.2357","2.8679","2.4276","2.7929","4.1268","2.9542","0.0286","1.8156","0.189","3.2735","0.0426","0.0976","0.0144","1.0072","0.5945","0","0.0144","3.2494","4.6473","1.8359","0","0.4005","0.0976","4.266","1.9486","4.9006","0","0.3334","0","3.3868","5.9186","2.7613","3.0618","0.3103","3.0179","0.1243","0","2.5729","0.4854","0.1375","5.2365","0.0144","2.7929","5.4429","3.8012","0.0426","4.6247","5.5868","4.359","3.1457","1.9336","4.0054","1.9107","3.406","4.144","1.8115","3","4.2257","0.0566","1.2928","0.0144","5.8384","2.3334","0.3219","6.0312","3.8115","2.101","0","0","0.3674","4.8773","0.8319","4.3277","2","0.0426","0.848","4.9491","4.6235","4.4938","0","3.2898","2.5385","5.9544","0.1375","3.1538","4.7104","4.5607","1.8836","5.8963","3.7495","6.4043","0.6135","0.1375","5.8146","1.4436","0.7655","0.0426","2.9392","3.8094","4.4634","2","1.4906","4.4699","2.3391","3.4249","1.1699","5.6404","0.9855","2.3505"
"SIDM00043","SIDM00043","5.3913","0","0","0","3.4033","0","1.5993","4.9837","0.1506","0.0841","3.6927","2.5534","0.0566","0.433","2.6826","0.1243","4.1961","3.3923","3.4168","0.3448","2.5922","0.0286","0.3103","0.3219","0.0704","5.6218","0","5.6061","3.0356","3.6194","3.4168","2.2987","1.7355","0.0841","1.7485","0","0","0.0426","4.9819","5.6605","3.9146","4.8176","0","0.0566","0","0.0426","0","0","0.0144","0.0144","0.0144","2.7027","0.9782","0.0144","0.0976","4.218","0.2987","0","0","5.2361","0.5558","5.2137","6.7609","2.0108","4.1326","0.0144","0","0","4.5198","3.3937","2.0807","4.2126","0","3.7634","3.0993","1.848","2.729","0.2141","1.9523","3.9505","0.6599","5.5046","0","0.251","4.8723","3.3632","0.0426","0","4.1985","0.2265","0","0","0","0","0.0704","5.599","4.5601","1.774","0.0841","2.3951","0.0286","4.797","3.6554","4.2787","4.1326","6.2436","3.384","0.0426","0","0","2.0738","0.926","1.8156","0.4222","0.0286","4.3096","4.0461","0.0286","0.0144","0.0704","0.2869","4.3118","0.1763","6.3789","2.266","0.848","0.7908","1.4489","3.926","3.5261","3.546","0","7.4727","2.7398","0.0144","3.9212","4.9236","4.254","3.4751","1.2203","1.9709","3.3349","0.0566","0","0.5059","0.189","2.4303","0","0.0841","0.0144","0.0144","0.0704","0","0.0144","2.4542","4.6375","3.384","0","0.0286","0.0566","5.0734","0.7991","4.5999","0","0","0.7049","3.0909","5.853","5.0661","0.4957","3.8924","3.7761","0.0286","0","1.8914","0.0704","0.4222","5.813","0.0144","0.0286","5.8273","2.1922","0.0286","4.1699","4.4236","4.6542","2.98","1.9298","0.0426","2.846","3.9809","4.9891","2.1177","2.4906","4.3646","2.846","0.3103","0.0144","4.2342","3.5398","2.3016","6.0546","4.6147","2.1667","0","0","0.9336","4.5141","1.1953","5.876","1.3785","0.0426","0.5753","5.5308","4.3298","4.6206","0.4542","2.8972","3.6803","6.0533","0.0841","2.4276","5.4679","5.9509","1.5607","4.4751","3.9079","6.0546","0.0144","0","6.8639","1.9598","0.0144","0","3.4529","3.9069","4.0321","2.6253","1.9709","5.111","3.8629","4.1546","1.0215","6.2317","0.7137","2.2928"
"SIDM00044","SIDM00044","4.9074","0","0","0.0144","3.6542","0","0.5753","5.8045","4.4249","0.2987","4.2242","4.0575","0.0144","1.9298","2.854","0.4222","3.511","2.3045","3.6599","2.251","2.7049","0.1763","0.7137","0.0144","0.4005","4.1177","5.0605","5.5444","3.6949","3.7581","3.0286","3.4168","2.1243","0.0144","3.263","0","0","2.2203","4.8826","5.6943","3.7366","4.1851","0","0.0144","0.0566","0.0144","0","0.0286","0.1243","4.272","3.5521","1.3618","0.4542","0.0426","5.2563","4.9107","2.6982","0.0426","0","7.5154","0","5.0704","5.9083","0.4854","3.969","3.9079","1.1506","0.0144","5.8084","3.3031","0","3.4699","4.144","3.6656","2.7049","6.6353","3.1938","1.8679","3.126","4.1449","1.774","5.4383","0","0.0286","4.0365","3.7719","0","0","4.1043","0.2016","0","2.5385","0.2265","0.0144","0.1375","5.5595","3.7634","1.4699","0","3.4686","2.585","4.5838","4.1085","4.9098","2.4222","5.318","3.2001","1.546","0","0","2.1538","4.5267","3.4316","0.7312","0","5.0036","4.6456","2.2957","2.0841","2.7093","0.3785","4.3861","0.6041","5.8787","3.0807","1.516","0.0286","3.4463","3.757","2.5311","3.904","0.0286","6.9181","4.904","0.3334","4.8374","5.1077","5.6702","3.2884","2.4222","4.7803","4.5801","0","0","0.0144","3.2854","2.3016","0","0.0426","0","0","3.2357","0","0.7398","3.1522","4.4283","4.0755","0.0426","2.6064","0.0144","7.2761","3.5385","2.4542","0","0","3.1906","1.0356","5.1719","5.2547","1.1953","1.0144","4.2304","0","2.0496","3.0161","4.785","2.0635","5.7996","0.1243","2.0807","5.6954","4.2713","1.0566","4.8958","4.153","5.3273","2.729","4.9855","4.9814","0.9561","3.4699","5.8679","3.9449","3.3799","4.3284","1.0072","0.2869","0.0144","5.2311","0.0566","0.3103","4.6645","5.6061","3.5185","0.4647","1.7049","0.275","4.4634","1.3951","4.0099","2.251","0.1635","4.2211","4.4718","5.5129","5.7057","0.1763","2.2234","3.4343","6.0367","2.251","2.8895","4.9317","7.2485","3.6017","5.4976","2.7887","6.229","0.6229","0.0566","6.8667","2.1603","0.1243","0.189","3.0583","3.9764","4.1408","2.0807","2.669","4.916","3.3771","3.4005","2.2898","5.898","0.7824","1.774"
"SIDM00045","SIDM00045","5.9177","0","0","0.0286","4.7538","0.3896","1.6088","0.0566","0.4222","0.0144","2.7866","3.1522","0.4005","1.6826","2.3505","0","3.5323","1.8718","3.0704","2.9855","1.7866","0","0.5261","3.7549","0.0144","4.8718","0","0.0144","0.0286","0.585","3.7355","2.1699","0.7137","0.0286","1.2869","0","0","0","4.8674","0.0144","0.0566","4.8304","0.0144","0","0","0","0.0144","0","0","0.0426","4.382","1.9298","0.6781","0.111","0","3.9828","1.541","0","0","0.0286","1.3045","3.6508","5.1114","0.3448","3.85","0","0","0.0286","5.4728","3.6792","0","2.7312","0","1.1763","1.9107","5.2761","2.8176","3.5521","0.0286","5.3176","5.2765","5.1164","0","0.251","8.3858","3.7398","0","0.0144","5.649","0","0","0.0426","0","0","0","4.5975","0.0144","0.0841","0","1.5656","0","4.067","4.5046","1.669","3.9486","5.4519","3.2203","0","0.1635","0","1.2141","0.1763","0.9411","0.189","0","4.3519","4.4783","0","0.1243","0","0","4.4976","1.5008","3.2418","3.6088","0.3448","3.5753","1.4489","2.8659","2.7698","0.546","0","6.4552","0.3334","0","5.2608","3.2957","4.7409","1.3103","0.275","0.0144","3.4249","1.1506","0","0.3896","0","3.0755","0","0","0","0","2.6982","0","3.4529","3.2555","4.342","2.7908","0","0.0566","0","4.5033","1.0356","4.2141","0","0.8718","0","3.1875","5.5975","3.1127","0","4.2972","3.3771","2.3363","0","1.251","0","2.7719","4.61","0","2.6826","5.4276","2.568","0.0144","4.7049","4.2016","4.7892","2.4931","0.0426","0.4957","1.4854","4.1375","4.7032","0.0286","4.157","4.4803","2.1077","1.0072","0","3.729","3.4155","0.0144","0","4.7533","1.7782","0","0","0.189","4.1473","2.488","3.116","2.0215","0.0286","2.8094","4.6011","4.106","0.774","0","1.1177","1.757","5.7444","0","3.373","6.3935","4.8359","2.3248","5.0237","4.4893","5.7004","0.2141","0","6.3995","1.1375","0.1635","0","2.9819","4.0418","3.6826","1.9745","2.254","4.7203","3.2854","3.7388","1.3505","5.0575","0.2016","2.3103"
"SIDM00046","SIDM00046","5.1695","0","0","0.0426","3.9919","0.0704","2.2357","0.3103","0.1243","0.7049","3.7038","1.4957","0.1375","2.1953","2.9088","0.1243","5.7732","3.4594","2.3391","1.4957","2.5993","1.144","0.6508","5.0548","0.0704","4.4744","0.0144","0.0841","0.0566","1.2388","3.7729","3.211","1.6182","3.1906","2.2016","0","0.0144","0.0286","5.5144","0.1243","0.0426","4.7148","0","0.1763","0.0144","0.0144","0.0144","0","0.0704","0.546","0.0704","2.1342","1.144","0.0144","1.373","3.7835","1.9855","0","1.757","4.5435","1.7655","0.7485","4.811","0.4222","3.6848","0.1635","0.2141","0.856","5.4692","3.645","0.0144","3.1227","0.0841","1.9635","0.8953","2.1506","3.1811","1.6182","2.3923","2.6645","0.2141","4.9088","0.0426","0.1243","5.8649","2.8094","2.9598","0.0426","4.0712","0.0426","0","2.6159","0.0976","0","0.0566","5.1014","3.8885","2.774","0.2016","1.6135","0.0566","4.594","4.3889","3.9718","3.858","5.6616","2.2388","0.1635","0","1.4168","1.4647","0.3334","1.111","1.5261","0","3.0858","5","0","0.2016","0.0704","1.8875","4.1375","1.9336","4.8415","3.61","0.5753","2.6531","1.0496","2.6531","2.6713","3.1375","0.0566","7.0529","3.3248","0.0144","4.7751","4.0215","3.844","1.848","4.8885","1.7527","4.2441","2.101","0","0.9782","0.0426","1.9928","0.0144","0.1763","0.0426","0.0286","2.7887","0","0.4542","2.4033","5.6334","2.84","0","0.0704","0.0144","5.1056","0.696","3.2188","0","0.0144","0.251","1.696","5.9968","5.4692","0.0566","2.111","2.9855","0.111","0.926","2.2357","1.516","0.4222","5.1914","0.2141","3.5814","5.285","3.2585","0.3785","4.5447","4.8694","4.565","2.5777","2.6088","0.0566","1.7527","4.5509","5.1667","0.0286","3.5765","3.4476","3.406","0.4751","0.0144","5.0742","2.9727","0.0426","5.5179","4.6171","1.926","0.0144","0","0.1243","3.7949","0.3674","4.272","1.8237","0.0566","2.4957","5.0968","3.6893","3.8895","0.0144","3.7866","0.3103","6.4363","0.0566","2.8053","5.4036","5.6106","0.774","5.3031","3.4542","6.6675","0.2388","0.0144","5.4532","1.6323","0.1243","0.0426","3.3604","3.6088","4.0027","2.0531","1.6599","5.0618","3.342","3.5838","0.0566","5.8684","0.1375","2.1408"
"SIDM00047","SIDM00047","6.3302","0","0.0286","0","3.4087","0.0144","0.6599","4.3169","0.3103","0.2016","2.854","4.3291","0.0144","1.84","3.0721","0.0144","0.0426","2.1375","3.8826","4.756","2","0.3785","0.6415","2.1699","0.2388","5.7371","0.0144","0.1763","1.9709","4.2141","2.7312","1.6276","1.6135","0","2.8972","0","0","0","3.9477","4.8802","1.9523","4.5993","0","0","0.0426","0.0144","0","0.0144","0","0.2388","1.856","3.6415","0.4222","0.546","2.9964","4.6433","4.4476","0.0144","0.0286","6.4674","0.0704","0.1506","4.86","0","4.2525","0.2016","0.0426","0","4.8595","3.4182","0.0144","3.5741","0","2.7137","1.8797","0.0144","1.9486","3.0993","3.1747","3.6358","1.6323","5.2434","0","0","5.0989","2.3923","0","0.0144","3.3632","0","0","0.0426","0","0.0144","0.0144","5.1875","0.0841","2.8176","0","3.851","0.0144","5.9371","4.5141","4.144","3.8309","5.6938","0.263","0.696","0","0","1.84","2.384","2.0356","0.4005","0","4.1723","4.0807","0.3561","0.0566","0","0.2869","4.6363","1.5311","3.5323","3.9411","0.189","0.189","1.1699","4.0233","3.2016","4.314","0","8.4618","5.6296","3.4931","4.3554","4.8753","2.3785","2.4141","1.6369","0.1506","3.6565","3.6882","0.0426","0.0144","0.433","2.3103","0","0.0286","0.0144","0","0.0841","0","2.4673","3.116","3.8679","1.5945","0.0144","2.9837","0","5.1156","2.7527","4.8156","0","4.2683","0.0286","6.8147","5.2114","3.7517","3.6713","1.9891","4.5198","1.0286","0","2.7137","1.7004","0","4.7613","2.844","2.3045","4.8339","7.5717","0.0566","4.9547","3.7214","5.1851","2.6064","2.0875","4.8733","0.3103","3.3147","4.4356","0.0144","2.9891","3.7929","0.0144","1.0704","0.2265","0.9928","2.3103","0","4.5497","3.6724","1.8718","0","0","0.7049","4.3646","1.4906","4.5814","3.106","0.0144","0.516","4.6536","4.757","6.1493","0","0.189","3.0993","6.3628","0.4647","0.7824","6.6439","5.7853","3.2032","5.0383","3.4816","6.559","0.1243","0","6.353","1.4222","1.0144","0","3.5957","3.7485","4.8258","2.257","2.4383","4.0618","3.5886","3.3674","1.6276","6.2254","0.4854","1.9598"
